R_Stay_Name,R_Stay_Old_Addr,R_Stay_Addr,R_Stay_Latitude,R_Stay_Longtitude,R_Stay_Score,R_Stay_Views,R_Stay_Preference,R_Stay_Reviews,R_Stay_Bookmarks
해피펜션,제주특별자치도 제주시 외도2동 317-1,제주특별자치도 제주시 월대1길 4,33.49411,126.43378,0,759,0,0,1
빠담빠담게스트하우스,제주특별자치도 서귀포시 표선면 표선리 2093,제주특별자치도 서귀포시 표선면 돈오름로 198-4,33.329624,126.81827,5,3789,1,5,2
골든튤립호텔,제주특별자치도 제주시 조천읍 함덕리 1269-19,제주특별자치도 제주시 조천읍 조함해안로 504,33.54239,126.66692,5,116,0,2,1
쇠소깍올레민박,제주특별자치도 서귀포시 하효동 236-2,제주특별자치도 서귀포시 효돈로204번길 23,33.2623726,126.6188522,0,941,0,0,0
제주필하우스,제주특별자치도 제주시 조천읍 북촌리 1586-1,제주특별자치도 제주시 조천읍 일주동로 1415,33.545048,126.68642,0,1176,0,0,0
라메종베니 두지엠,제주특별자치도 서귀포시 성산읍 환해장성로 925,제주특별자치도 서귀포시 성산읍 환해장성로 925,33.43353,126.915726,0,1236,0,0,0
로즈비치,제주특별자치도 제주시 조천읍 신흥리 874,제주특별자치도 제주시 조천읍 조함해안로 162,33.5447774,126.650164,0,1690,0,0,0
비비엔다,제주특별자치도 제주시 구좌읍 세화리 18,제주특별자치도 제주시 구좌읍 세화11길 18,33.522514,126.86111,3,1277,0,1,1
동막골게스트하우스,제주특별자치도 서귀포시 안덕면 덕수리 190,제주특별자치도 서귀포시 안덕면 서광서문로 55-7,33.28357,126.323204,0,1129,0,0,1
제주베스트힐 펜션&글램핑,제주특별자치도 제주시 조천읍 교래리 786-31,제주특별자치도 제주시 조천읍 남조로 2109-36,33.4276176,126.6665803,0,2605,1,0,0
비오하우스,제주특별자치도 제주시 구좌읍 월정리 567-1,제주특별자치도 제주시 구좌읍 월정3길 53-5,33.55612,126.79461,0,1276,0,0,2
오름게스트하우스,제주특별자치도 제주시 구좌읍 세화리 1758-41,제주특별자치도 제주시 구좌읍 충렬로 147-19,33.50991,126.84661,0,2294,0,0,2
펜션 에덴호스텔,제주특별자치도 제주시 용담3동 2382,제주특별자치도 제주시 서해안로 456-12,33.5184357,126.4893095,0,1056,0,0,0
달빛정원게스트하우스,제주특별자치도 서귀포시 남원읍 태흥리 1342-1,제주특별자치도 서귀포시 남원읍 태위로852번길 7,33.283443,126.737625,0,569,0,0,0
너를만나행복해,제주특별자치도 제주시 구좌읍 하도리 3209-3,제주특별자치도 제주시 구좌읍 면수2길 7,33.522026,126.86841,4,4003,2,4,2
동네형들게스트하우스,제주특별자치도 서귀포시 성산읍 고성리 198,제주특별자치도 서귀포시 성산읍 신양로122번길 30-8,33.43624,126.92086,3,1376,0,1,1
스테이지게스트하우스,제주특별자치도 제주시 구좌읍 종달리 611,제주특별자치도 제주시 구좌읍 해맞이해안로 2361,33.49031,126.91084,0,1345,0,0,2
단추스테이,제주특별자치도 제주시 한림읍 금능리 1593,제주특별자치도 제주시 한림읍 금능1길 15-8,33.38833,126.22373,5,1676,0,1,1
제주펄관광호텔,제주특별자치도 제주시 연동 277-1,제주특별자치도 제주시 신대로20길 49,33.483475,126.491264,0,1295,1,0,0
더캐슬,제주특별자치도 제주시 애월읍 애월해안로 592,,33.4782,126.36708,0,787,0,0,0
코시롱게스트하우스,제주특별자치도 서귀포시 성산읍 성산리 178-8,제주특별자치도 서귀포시 성산읍 성산중앙로37번길 1,33.46319,126.93307,3,1607,0,2,2
선샤인호텔,제주도 제주시 조천읍 함덕리 1040,제주시 조천읍 신북로 481-9,33.54424,126.66184,5,3312,0,1,5
펄리플러스,제주특별자치도 제주시 도두1동 1800-1,제주특별자치도 제주시 도두봉 2길 2,33.50541,126.46997,5,3602,1,3,3
블랑게스트하우스,제주특별자치도 서귀포시 표선면 표선리 1821-1,제주특별자치도 서귀포시 표선면 표선관정로43번길 76-31,33.33356,126.826645,0,1039,0,0,0
그랜드메르호텔,제주특별자치도 서귀포시 하예동 460-1,제주특별자치도 서귀포시 논짓물로 45,33.2395829,126.3863727,4,1851,2,1,4
엘마르게스트하우스,제주특별자치도 서귀포시 표선면 표선리 44-6,제주특별자치도 서귀포시 표선면 표선당포로 17,33.32603,126.84436,0,1097,1,0,0
팜핑제주,제주특별자치도 서귀포시 도순동 1303,제주특별자치도 서귀포시 중산간서로400번길 105,33.2688268,126.4730466,3,3837,1,1,0
브릭216,제주특별자치도 서귀포시 대포동 2229-1,제주특별자치도 서귀포시 이어도로 216,33.240837,126.44346,3,1685,0,1,1
바다올레,제주 제주시 한림읍 한수7길 6-3,제주 제주시 한림읍 한수7길 6-3,33.422974,126.26406,0,1634,0,0,0
중문스테이,제주특별자치도 서귀포시 대포동 1695,제주툭별자치도 서귀포시 중문관광로 288,33.24583,126.429504,3,2762,0,1,1
달달하우스,제주특별자치도 제주시 한림읍 협재리 1576,제주특별자치도 제주시 한림읍 한림로 414-6,33.39821,126.24653,5,2412,0,9,0
도일모텔,제주특별자치도 제주시 연동 268-8,제주특별자치도 제주시 신광로 102,33.4830492,126.4896627,0,2863,0,0,0
이쁜새이쁘게노래하고펜션,제주특별자치도 제주시 한림읍 협재리 2082-2,제주특별자치도 제주시 한림읍 협재로 68-5,33.3922895,126.2472499,0,1703,0,0,0
끄라비펜션,제주특별자치도 서귀포시 토평동 1729-4,제주특별자치도 서귀포시 토평로148번길 28,33.28441,126.57967,5,5461,2,1,6
제주도유,제주특별자치도 제주시 조천읍 신촌리 588-1,제주특별자치도 제주시 조천읍 신촌10길 40,33.532528,126.62616,5,4168,0,5,2
범섬풍경,제주특별자치도 서귀포시 호근동 1586-3,제주특별자치도 서귀포시 속골로 26,33.242146,126.52973,5,4706,0,4,4
블라제리조트,제주특별자치도 서귀포시 표선면 가시리 3171,제주특별자치도 서귀포시 표선면 녹산로 274,33.3791145,126.7469589,0,3208,2,0,0
섭지코지하우스,제주특별자치도 서귀포시 성산읍 고성리 192,제주특별자치도 서귀포시 성산읍 신양로122번길 24,33.4445754,126.9095025,5,3211,0,6,0
천상의노을,제주특별자치도 제주시 애월읍 신엄리 2839-1,제주특별자치도 제주시 애월읍 애월해안로 424,33.4738614,126.3532006,0,1575,1,0,0
제주와요펜션,제주특별자치도 제주시 조천읍 조천리 2282,제주특별자치도 제주시 조천읍 조천남4길 4,33.5329839,126.6386315,0,1004,0,0,0
제주의시간은느리다,제주특별자치도 제주시 구좌읍 상도리 631,제주특별자치도 제주시 구좌읍 상도로 30-4,33.511997,126.864235,0,1419,0,0,2
마당돌펜션,제주특별자치도 서귀포시 대정읍 무릉리 3878-8,제주특별자치도 서귀포시 대정읍 노을해안로 410,33.25609,126.190796,0,2165,0,0,2
해변산책펜션,제주특별자치도 제주시 애월읍 곽지리 1622-29,제주특별자치도 제주시 애월읍 곽지9길 7,33.4519929,126.308092,4,3107,0,1,2
눈먼고래,제주특별자치도 제주시 조천읍 조천리 3080-2,제주특별자치도 제주시 조천읍 조천7길 19-12,33.538532,126.63454,0,2035,1,0,2
제주올레펜션,제주특별자치도 서귀포시 남원읍 신흥리 2098,제주특별자치도 서귀포시 남원읍 원님로 473,33.345985,126.74921,0,663,0,0,0
디스이즈핫,제주특별자치도 제주시 구좌읍 하도리 59-1,제주특별자치도 제주시 구좌읍 하도15길 153-5,33.5131782,126.8973861,0,1122,0,0,0
로그밸리,제주특별자치도 제주시 애월읍 소길리 966-1,제주특별자치도 제주시 애월읍 소길남길 190-19,33.4169117,126.3756972,0,2038,0,0,1
킹스통나무,제주특별자치도 제주시 애월읍 납읍리 124,제주특별자치도 제주시 애월읍 도치돌길 279-1,33.4108192,126.3644577,0,819,0,0,0
아림민박,제주특별자치도 제주시 용담삼동 2383,제주특별자치도 제주시 서해안로 456-8,33.5179022,126.4891045,0,2209,0,0,0
하늘타리펜션,제주특별자치도 제주시 외도이동 1991,제주특별자치도 제주시 연대마을길 59,33.4938535,126.4245732,0,838,0,0,1
그린나래,제주도 서귀포시 성산읍 수산리 3251,제주도 서귀포시 성산읍 서성일로 615,33.42784,126.8509,0,1956,0,0,1
제주성산아일랜드,제주특별자치도 서귀포시 성산읍 수산리 3988-3,제주특별자치도 서귀포시 성산읍 금백조로131번길 176,33.4311796,126.8443512,0,1007,0,0,0
종달스토리,제주특별자치도 제주시 구좌읍 종달리 814-16,제주특별자치도 제주시 구좌읍 종달논길 61-7,33.49175,126.90021,0,1328,0,0,2
뿌리게스트하우스,제주특별자치도 제주시 한경면 용수리 3047-3,제주특별자치도 제주시 한경면 용수1길 3,33.3205785,126.1778439,0,1084,0,0,1
해변여행,제주특별자치도 제주시 애월읍 하귀2리 2726,제주특별자치도 제주시 애월읍 가문동길 41-2,33.486088,126.392105,0,574,0,0,0
갯바위펜션,제주특별자치도 서귀포시 하예동 1747,제주특별자치도 서귀포시 하예하동로 37,33.2335467,126.3727955,0,906,0,0,0
달집게스트하우스,제주특별자치도 제주시 구좌읍 종달리 953,제주특별자치도 제주시 구좌읍 종달논길 32-3,33.493687,126.901054,0,1520,0,0,1
제주에살다,제주특별자치도 서귀포시 성산읍 온평리 1118-2,제주특별자치도 서귀포시 성산읍 온평포구로62번길 37,33.399765,126.90398,4,1559,0,2,4
푸르미르 펜션,제주특별자치도 서귀포시 성산읍 성산리 368,제주특별자치도 서귀포시 성산읍 한도로 207,33.46819,126.93005,0,1540,0,0,1
스톤성민박,제주특별자치도 서귀포시 색달동 2366,제주특별자치도 서귀포시 일주서로 866,33.25879,126.418106,0,1078,0,0,0
제주 야원독채펜션,제주특별자치도 제주시 조천읍 선흘리 2044-2,제주특별자치도 제주시 조천읍 선교로 211-19,33.48445,126.70247,0,791,0,0,0
포지타노인제주,제주특별자치도 서귀포시 성산읍 신천리 287,제주특별자치도 서귀포시 성산읍 신천서로 27-5,33.3429821,126.8511337,0,1646,0,0,1
오랑제리펜션,제주특별자치도 서귀포시 법환동 680-1,제주특별자치도 서귀포시 법환상로2번길 58,33.2446817,126.5145411,0,1177,0,0,0
제주를여행하는히치하이커를위한안내소,제주특별자치도 제주시 용담3동 519-11,제주특별자치도 제주시 용마로4길 5,33.515755,126.50593,0,840,0,0,1
수앤수가족호텔,제주시 애월읍 신엄리 2946-4,제주시 애월읍 부룡수길 60,33.466335,126.36889,5,3011,0,1,4
약천골민박,제주특별자치도 서귀포시 하원동 1715-1,제주특별자치도 서귀포시 이어도로 303,33.2432923,126.4519616,0,1249,0,0,0
한라궁,제주특별자치도 서귀포시 토평동 581-1,제주특별자치도 서귀포시 정방연로 6,33.24843,126.57835,1,2001,2,1,1
구름비낭,제주특별자치도 제주시 한경면 판포리 2606-1,제주특별자치도 제주시 한경면 판포중2길 15,33.3579152,126.2017684,0,1959,0,0,1
슬리퍼게스트하우스,제주도 서귀포시 서귀동 276-14,제주도 서귀포시 중앙로48번길 17-1,33.249393,126.56361,0,765,0,0,2
베이힐 풀앤빌라,제주특별자치도 서귀포시 하예동 1888,제주특별자치도 서귀포시 예래로 424,33.24512,126.38528,5,8442,1,1,5
파도봐 펜션,제주특별자치도 서귀포시 남원읍 남원리 93-11,제주특별자치도 서귀포시 남원읍 남태해안로 141,33.28853,126.70413,0,1140,0,0,0
쉼표있는뜨락,제주특별자치도 제주시 구좌읍 일주동로 3429,제주특별자치도 제주시 구좌읍 일주동로 3429,33.517315,126.8838,0,659,0,0,0
아이리스호텔,제주도 서귀포시 서귀동 626-2번지,솔동산로 16-1,33.243412,126.56391,0,1436,0,0,0
봄그리고가을호텔&리조트,제주특별자치도 서귀포시 성산읍 시흥리 205,제주특별자치도 서귀포시 성산읍 해맞이해안로 2652,33.474014,126.91115,3,6226,1,1,20
송정게스트하우스,제주특별자치도 서귀포시 칠십리로 139,제주특별자치도 서귀포시 칠십리로 139,33.243855,126.56889,0,790,0,0,0
디오션힐,제주특별자치도 서귀포시 안덕면 사계리204,제주특별자치도 서귀포시 안덕면 사계북로 208,33.2367,126.30894,5,2787,0,1,3
플레이스 캠프 제주,제주특별자치도 서귀포시 성산읍 고성리 297-1,제주특별자치도 서귀포시 성산읍 동류암로 20,33.449944,126.91838,5,7029,2,3,10
힐링 게스트하우스,제주특별자치도 제주시 한림읍 금능리 1461,제주특별자치도 제주시 한림읍 금능6길 23,33.388527,126.23102,0,1022,0,0,1
제주스웨덴리조트펜션,제주특별자치도 제주시 한림읍 협재리 12-1,제주특별자치도 제주시 한림읍 명재로 100-45,33.392481,126.2411472,4,2373,0,0,0
이찌마루&잠비,제주특별자치도 제주시 구좌읍 월정리 583-1,제주특별자치도 제주시 구좌읍 월정1길 54-11,33.555485,126.79351,0,880,0,0,2
소낭게스트하우스,제주특별자치도 제주시 구좌읍 월정리 891-7,제주특별자치도 제주시 구좌읍 월정1길 1,33.55209,126.791084,5,1667,0,1,3
비아 제주,제주특별자치도 제주시 연동 290-36,제주특별자치도 제주시 삼무로9길 11,33.492687,126.49494,0,2617,0,0,0
파크빌리지,제주특별자치도 제주시 애월읍 상귀리 667-5,제주특별자치도 제주시 애월읍 상귀서길 82-12,33.4651885,126.4053912,0,1062,0,0,2
가파도상동펜션,제주특별자치도 서귀포시 대정읍 가파리 209,제주특별자치도 서귀포시 대정읍 가파로 255,33.174137,126.27002,0,1433,0,0,0
블루오션,제주특별자치도 서귀포시 대정읍 가파리 568,제주특별자치도 서귀포시 대정읍 가파로 53,33.16542,126.272255,0,1146,0,0,0
꿈꾸는섬 게스트하우스,제주특별자치도 제주시 조천읍 조천리 2396,제주특별자치도 제주시 조천읍 조천3길 27-1,33.53595,126.63495,5,3146,0,3,1
돌담마을,제주특별자치도 제주시 조천읍 북촌리 1054,제주특별자치도 제주시 조천읍 북촌남4길 160,33.54263,126.69193,0,704,0,0,1
루피게스트하우스,제주특별자치도 제주시 구좌읍 김녕리 3614,제주특별자치도 제주시 구좌읍 김녕로 79-2,33.554432,126.7468,0,438,0,0,0
조이다이브 게스트하우스,서귀포시 서호동 728,서귀포시 중산간동로 83838,33.26082,126.52128,0,390,0,0,1
엠버호텔 센트럴,제주특별자치도 제주시 노형동 928-1,제주특별자치도 제주시 노연로 24,33.4859312,126.4828144,0,1368,0,0,1
더아름다운펜션,제주특별자치도 서귀포시 회수동 670-1,제주특별자치도 서귀포시 일주서로 632,33.2538393,126.4420593,0,1358,0,0,0
스토리빌,제주특별자치도 서귀포시 호근동 1616-2,제주특별자치도 서귀포시 태평로92번길 39 (호근동),33.24079,126.53185,0,635,0,0,0
통나무파크,제주특별자치도 제주시 애월읍 납읍리 102,제주특별자치도 제주시 애월읍 도치돌길 293,33.410244,126.366035,3,2464,0,1,1
수상한집 광보네,제주특별자치도 제주시 도련일동 1634-1 2층,제주특별자치도 제주시 도련3길 14-4 2층,33.5081597,126.5871813,0,1694,0,0,2
민준채,제주특별자치도 제주시 한림읍 월령리 349-1,제주특별자치도 제주시 한림읍 월령3길 27-5,33.377766,126.21604,0,1353,1,0,3
폴라리스인제주,제주특별자치도 제주시 애월읍 유수암리 726,제주특별자치도 제주시 애월읍 유수암동3길 45,33.438095,126.408424,0,2339,0,0,1
중문햇빛펜션,제주특별자치도 서귀포시 안덕면 창천리 39-1,제주특별자치도 서귀포시 안덕면 쇠물도로 14,33.2696174,126.3699416,0,1102,0,0,0
스토리하우스펜션,제주특별자치도 제주시 이호일동 320-1,제주특별자치도 제주시 도리중길 37,33.5019633,126.4632175,0,1744,1,0,1
제주서울민박,제주특별자치도 서귀포시 남원읍 태흥리 614-3,제주특별자치도 서귀포시 남원읍 태위로 970,33.2877269,126.7483291,0,1229,0,0,0
애월해안누리펜션(구 하얀둥지펜션),제주특별자치도 제주시 애월읍 고내리 459,제주특별자치도 제주시 애월읍 애월해안로 298,33.4704594,126.3416719,0,1085,0,0,0
제주프렌즈펜션,제주특별자치도 제주시 한경면 판포리 2842-4,제주특별자치도 제주시 한경면 판포2길 35,33.3614954,126.2008492,0,1314,0,0,0
귀덕리2723펜션,제주도 제주시 한림읍 귀덕리 2723,제주도 제주시 한림읍 귀덕6길 92-9,33.43557,126.29094,0,717,0,0,2
오렌지펜션,제주특별자치도 제주시 애월읍 수산리 1239-1,제주특별자치도 제주시 애월읍 하소로 255,33.4599,126.39137,0,538,0,0,0
제주잔잔,제주특별자치도 서귀포시 보목동 677,제주특별자치도 서귀포시 칠십리로485번길 15-17,33.2426363,126.600949,0,1260,0,0,4
몽돌바당,제주특별자치도 제주시 내도동 606-1,제주특별자치도 제주시 내도3길 10,33.494644,126.4396,5,4132,1,2,4
나비스호텔,제주특별자치도 제주시 애월읍 하귀2리 2749-3,제주특별자치도 제주시 애월읍 애월해안로 885,33.4862269,126.3916298,0,3231,0,0,1
리틀포레스트,제주특별자치도 제주시 도평동 1191-3,제주특별자치도 제주시 사라길 126,33.476444,126.45143,0,875,0,0,0
가파도민박,제주특별자치도 서귀포시 대정읍 가파리 559-1,제주특별자치도 서귀포시 대정읍 가파로67번길 5,33.166195,126.27303,0,1928,0,0,0
소람민박,제주특별자치도 서귀포시 법환동 629-7,제주특별자치도 서귀포시 법환상로2번길 47,33.2442,126.51558,0,868,0,0,0
아델리아빌,제주특별자치도 제주시 내도동 364-15,제주특별자치도 제주시 내도9길 8-15,33.4937692,126.4443036,0,1189,0,0,0
저스트슬립제주,제주특별자치도 서귀포시 대정읍 무릉리 3845-3,제주특별자치도 서귀포시 대정읍 무릉중앙로21번길 158-28,33.270264,126.2004199,0,1503,0,0,3
해피데이,제주특별자치도 제주시 한림읍 협재리 1424,제주특별자치도 제주시 한림읍 한림로 423,33.3993265,126.2468661,0,877,0,0,1
제주올레캐슬휴양펜션,제주도 제주시 조천읍 북촌리 382,,33.552395,126.70165,0,693,0,0,0
올레해오름펜션,제주특별자치도 제주시 애월읍 광령리 2812-2,제주특별자치도 제주시 애월읍 광령평화2길 142-19,33.4322775,126.4329879,0,957,0,0,0
그림같은풍경,제주도 서귀포시 대정읍 신도리 2413,제주도 서귀포시 대정읍 노을해안로 600,33.26862,126.179146,0,1524,0,0,0
블루펄,제주특별자치도 서귀포시 호근동 1616-1,제주특별자치도 서귀포시 태평로92번길 35,33.2412,126.5319536,0,1257,0,0,1
하워드존슨 제주 연동 호텔,제주특별자치도 제주시 연동 281-26,제주특별자치도 제주시 삼무로 57,33.49002,126.492874,4,5045,0,4,2
롯데리조트아트빌라스,제주특별자치도 서귀포시 색달동 301,제주특별자치도 서귀포시 색달중앙로252번길 124,33.289387,126.4132,5,7608,0,4,5
굿데이 펜션,제주특별자치도 서귀포시 서홍동 754-1,제주특별자치도 서귀포시 남성로115번길 2,33.2539385,126.5595922,0,2192,0,0,0
글라라의집,제주특별자치도 서귀포시 안덕면 사계리 2019-6,제주특별자치도 서귀포시 안덕면 사계남로 211,33.232094,126.3087,0,3140,0,0,1
노블레스호텔,제주특별자치도 제주시 연동 278-1,제주특별자치도 제주시 연동8길 31,33.483011,126.4908156,0,1144,1,0,0
여울목게스트하우스(월정리),제주특별자치도 제주시 구좌읍 월정리 662-1,제주특별자치도 제주시 구좌읍 월정중길 51,33.5587,126.794106,3,3559,0,1,2
1915 지오하우스,제주특별자치도 서귀포시 성산읍 성산리 235-2,제주특별자치도 서귀포시 성산읍 성산등용로 14,33.465214,126.93313,0,3108,0,0,1
파인비치,제주특별자치도 서귀포시 남원읍 태흥리 385,제주특별자치도 서귀포시 남원읍 태위로 976-10,33.2922889,126.7393618,0,1084,0,0,0
함덕삼다펜션,제주특별자치도 제주시 조천읍 함덕리 1252-38,제주특별자치도 제주시 조천읍 조함해안로 488,33.5427361,126.664953,0,2058,0,0,0
안나106,제주특별자치도 서귀포시 성산읍 고성리 2227-1,제주특별자치도 서귀포시 성산읍 산성효자로 106,33.44773,126.90278,3,1187,0,1,0
루하우스,제주특별자치도 서귀포시 표선면 표선리 2390-5,제주특별자치도 서귀포시 표선면 민속해안로119번길 8,33.307262,126.81284,0,1235,0,0,0
호텔컬리넌제주,제주특별자치도 제주시 연동 284-8,제주특별자치도 제주시 사장1길 26,33.4853573,126.4928515,0,1274,1,0,4
해호텔,제주특별자치도 제주시 용담삼동 1161,제주특별자치도 제주시 서해안로 526,33.5197387,126.495252,0,603,0,0,0
일출봉관광호텔,제주특별자치도 서귀포시 성산읍 성산리 261-2,제주특별자치도 서귀포시 성산읍 한도로 244,33.466133,126.93354,0,782,0,0,0
