R_Eatery_Name,R_Eatery_Old_Addr,R_Eatery_Addr,R_Eatery_Latitude,R_Eatery_Longtitude,R_Eatery_Score,R_Eatery_Views,R_Eatery_Preference,R_Eatery_Reviews,R_Eatery_Bookmarks
탐라 뚝배기,제주특별자치도 서귀포시 표선면 표선리 879,제주특별자치도 서귀포시 표선면 표선백사로 127,33.32677,126.83669,0,2569,0,0,11
토담골,제주특별자치도 제주시 아라이동 2425,제주특별자치도 제주시 간월동로 5,33.4859043,126.5434964,0,1452,0,0,4
우유부단,제주특별자치도 제주시 한림읍 금악리 142-2,제주특별자치도 제주시 한림읍 금악동길 38,33.34764,126.32826,5,19738,10,38,225
명당양과,제주시 원노형로 83,제주시 원노형로 83,33.481274,126.48501,5,10153,20,9,59
땅꼬분식 뷔페,제주특별자치도 제주시 조천읍 조천리 686-2,제주특별자치도 제주시 조천읍 조천18길 50-9,33.537205,126.645424,3,3850,0,1,14
좀녀마을뚝배기,제주특별자치도 제주시 연동 303-45,제주특별자치도 제주시 은남길 25,33.48737,126.495964,0,3866,0,0,35
하와이새우트럭,제주특별자치도 제주시 노형동 3792-5,제주특별자치도 제주시 노형13길 16,33.482337,126.478375,5,2476,0,1,28
길벗식당,제주특별자치도 제주시 노형동 1020-2,제주특별자치도 제주시 월광로 162,33.4925136,126.4750372,0,1408,0,0,5
다래향,제주특별자치도 제주시 조천읍 함덕리 3132-1,제주특별자치도 제주시 조천읍 조함해안로 428-4,33.5457967,126.6607519,4,3651,0,2,12
돌하르방식당,제주특별자치도 제주시 한림읍 협재리 2487,제주특별자치도 제주시 한림읍 한림로 300,33.3879944,126.2397837,5,4841,0,1,25
킨포크,제주특별자치도 제주시 노형동 3803-17,제주특별자치도 제주시 노형3길 8,33.483097,126.477234,0,1476,0,0,1
키스더티라미수,제주특별자치도 제주시 애월읍 고내리 473,제주특별자치도 제주시 애월읍 애월해안로 274,33.46854,126.34041,0,539,0,0,0
함덕밀면,제주특별자치도 제주시 조천읍 함덕리 960,제주특별자치도 제주시 조천읍 신북로 566,33.5402349,126.6700387,0,2835,1,0,18
골막식당,제주특별자치도 제주시 이도이동 362-1,제주특별자치도 제주시 천수로 12,33.5024655,126.5384668,5,4769,2,2,44
늘봄흑돼지,제주특별자치도 제주시 노형동 2343-3,제주특별자치도 제주시 한라대학로 12,33.4792895,126.4728779,5,6785,3,4,48
치저스,제주특별자치도 제주시 구좌읍 송당리 1581-1,제주특별자치도 제주시 구좌읍 비자림로 1785,33.4684316,126.7740314,5,4263,0,6,43
강정해녀의집,제주특별자치도 서귀포시 강정동 4964,제주특별자치도 서귀포시 말질로 290,33.227562,126.474815,0,3447,0,0,14
한림로342쩜빵,제주특별자치도 제주시 한림읍 협재리 1750-3,제주특별자치도 제주시 한림읍 한림로 342,33.39386,126.240944,4,131,0,2,0
마중물삼계탕,제주특별자치도 제주시 서사로 62-3,제주특별자치도 제주시 서사로 62-3,33.506916,126.51998,0,1713,0,0,0
머루황토불갈비,제주특별자치도 제주시 오일장중길 41,제주특별자치도 제주시 오일장중길 41,33.49619,126.47261,0,713,0,0,3
물금,제주특별자치도 제주시 임항로 49,,33.515636,126.53186,0,1009,0,0,5
쉬림프봉봉&올레파머스,제주특별자치도 제주시 구좌읍 월정리 523-1,제주특별자치도 제주시 구좌읍 월정7길 57,33.55525,126.79582,5,2686,0,4,5
대관원,제주특별자치도 제주시 연동 312-54,제주특별자치도 제주시 신대로13길 3,33.487804,126.49748,0,2853,1,0,5
돌하르방 뚝배기,제주특별자치도 서귀포시 성산읍 성산리 141,제주특별자치도 서귀포시 성산읍 일출로 264,33.4611919,126.9339076,4,3371,2,1,25
웅스키친,제주특별자치도 제주시 이호2동 116-3,제주특별자치도 제주시 대동길 17-1,33.4930736,126.4637705,5,4707,0,9,33
