Stay_ID,Stay_Type,Stay_Name,Stay_Addr,Stay_Num,longtitude,langtitude
1,관광호텔업,글래드호텔앤리조트(주)메종글래드제주,제주특별자치도 제주시 노연로 80,064-747-5000,126.488545,33.485762
2,관광호텔업,제주오리엔탈호텔,제주특별자치도 제주시 탑동로 47,064-752-8222,126.5193187,33.51749255
3,관광호텔업,제주KAL호텔,제주특별자치도 제주시 중앙로 151,064-724-2001,126.5264398,33.50567614
4,관광호텔업,제주썬호텔,제주특별자치도 제주시 삼무로 67,064-741-8000,126.4938998,33.49012542
5,관광호텔업,제주퍼시픽호텔,제주특별자치도 제주시 서사로 20,064-758-2500,126.5188916,33.51067749
6,관광호텔업,라마다프라자제주호텔,제주특별자치도 제주시 탑동로 66,064-729-8100,126.5169976,33.51850792
7,관광호텔업,제주로얄호텔,제주특별자치도 제주시 신대로12길 45,064-743-2222,126.4916948,33.48852915
8,관광호텔업,제주선샤인호텔,제주특별자치도 제주시 조천읍 신북로 481-9,064-784-2525,126.6481723,33.54540119
9,관광호텔업,스타즈호텔 제주 로베로,제주특별자치도 제주시 관덕로 26,064-757-7111,126.5218499,33.51287223
10,관광호텔업,제주서울관광호텔,제주특별자치도 제주시 탑동로 5,064-752-2211,126.5241762,33.5167688
11,관광호텔업,제주팔레스관광호텔,제주특별자치도 제주시 탑동로 9,064-753-8811,126.5237167,33.51687792
12,관광호텔업,뉴아일랜드 관광호텔,제주특별자치도 제주시 연동6길 17,064-712-1300,126.5012892,33.49694516
13,관광호텔업,펄호텔 제주,제주특별자치도 제주시 신대로20길 49,064-742-8871,126.49088,33.48355181
14,관광호텔업,호텔 하니 크라운,제주특별자치도 제주시 관덕로 56,064-758-4200,126.5252842,33.51296695
15,관광호텔업,제주마리나관광호텔,제주특별자치도 제주시 신대로 45,064-746-6161,126.4972105,33.49321199
16,관광호텔업,삼해인관광호텔,제주특별자치도 제주시 도령로 108,064-742-7775,126.4896823,33.49122634
17,관광호텔업,금룡관광호텔,제주특별자치도 제주시 삼무로 79,064-747-8885,126.4952797,33.4900025
18,관광호텔업,제주아일랜드호텔리조트,제주특별자치도 제주시 애월읍 평화로 2377,064-799-8222,126.3610031,33.46938676
19,관광호텔업,오션그랜드호텔,제주특별자치도 제주시 조천읍 조함해안로 490,064-783-0007,126.6305972,33.52394956
20,관광호텔업,(주)블랙스톤리조트,제주특별자치도 제주시 한림읍 한창로 925-122,064-795-2126,126.3135267,33.33612632
21,관광호텔업,호텔 스카이파크 제주,제주특별자치도 제주시 삼무로 48,064-797-0000,126.4917934,33.48948715
