Eatery_ID,Eatery_Name,Eatery_Addr,Eatery_Num,Eatery_Type
1,(주)삼다도횟집,제주특별자치도 제주시 서해안로 572 ,064-711-7080,횟집
2,가영이네횟집,제주특별자치도 제주시 성지로 46-1,064-757-8581,횟집
3,강강술래,제주특별자치도 제주시 중앙로11길 12 ,064-725-6731,횟집
4,갯바위횟집,제주특별자치도 제주시 흥운길 99,064-712-7600,횟집
5,거제도횟집,제주특별자치도 제주시 서부두길 26 ,064-758-3737,횟집
6,경락,제주특별자치도 제주시 천수로13길 6 ,064-726-3380,횟집
7,계성,제주특별자치도 제주시 서사로 161 ,064-757-1161,횟집
8,고기가게,제주특별자치도 제주시 국기중길 12 ,,횟집
9,곱스럽닭도남점,제주특별자치도 제주시 도남로 25,,횟집
10,구엄해녀수산,제주특별자치도 제주시 애월읍 애월해안로 715-1,064-745-1135,횟집
11,금돈지수산,제주특별자치도 제주시 금산5길 9 ,064-755-6374,횟집
12,금보,제주특별자치도 제주시 서부두길 14 ,064-726-1777,횟집
13,금복촌,제주특별자치도 제주시 서광로7길 5 ,064-722-8568,횟집
14,길촌,제주특별자치도 제주시 도공로 6 ,064-743-2227,횟집
15,김녕대성,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,064-784-5508,횟집
16,김해,제주특별자치도 제주시 서해안로 660,064-711-1318,횟집
17,꽃보다소제주연동점,제주특별자치도 제주시 신대로10길 18 ,,횟집
18,날걸로,제주특별자치도 제주시 중앙로1길 8 ,064-752-6628,횟집
19,남또리,제주특별자치도 제주시 애월읍 애월해안로 384,064-799-1711,횟집
20,남해횟집,제주특별자치도 제주시 국기중길 3 ,064-744-5578,횟집
21,내도바당,제주특별자치도 제주시 내도중길 9-7 ,064-743-8339,횟집
22,노형자연산,제주특별자치도 제주시 정존3길 26,064-749-2622,횟집
23,누네띠네,제주특별자치도 제주시 관덕로8길 19 ,064-724-4980,횟집
24,다려도 횟집,제주특별자치도 제주시 조천읍 신북로 544,064-783-8836,횟집
25,다은식당,제주특별자치도 제주시 오복2길 34 ,064-721-0640,횟집
26,대게와킹크랩돌꼬망쭌포차,제주특별자치도 제주시 오복6길 5 ,,횟집
27,대아갈비,제주특별자치도 제주시 연동4길 6-2 ,064-745-9922,횟집
28,대진,제주특별자치도 제주시 서부두길 16 ,064-758-0522,횟집
29,대촌미락,제주특별자치도 제주시 조천읍 조함해안로 482-1,064-784-5666,횟집
30,대풍미락횟집함덕본점,제주특별자치도 제주시 조천읍 조함해안로 446,064-784-8100,횟집
31,도근내,제주특별자치도 제주시 월대5길 9,064-752-4563,횟집
32,도깨비횟집,제주특별자치도 제주시 도두항서길 67,,횟집
33,도남앤횟집,제주특별자치도 제주시 도남로 49,064-751-5697,횟집
34,도담스시,제주특별자치도 제주시 연수로 40 ,064-722-1563,횟집
35,도두,제주특별자치도 제주시 도두3길 48 ,064-742-9292,횟집
36,도두맛집해녀와바다,제주특별자치도 제주시 도두항서길 34,064-7130-040,횟집
37,도두어부의밥상,제주특별자치도 제주시 서해안로 181,064-713-8250,횟집
38,도두항돈까스,제주특별자치도 제주시 도두항서길 26,064-744-6446,횟집
39,도두활어직매장,제주특별자치도 제주시 도공로 3-5,064-743-4188,횟집
40,돈독,제주특별자치도 제주시 남광북1길 45 ,,횟집
41,돈떵이서부두점,제주특별자치도 제주시 서부두길 26 ,064-723-6657,횟집
42,돈짱,제주특별자치도 제주시 서해안로 131,064-742-2008,횟집
43,돌수산,제주특별자치도 제주시 사장길 17,,횟집
44,동문삼원횟집,제주특별자치도 제주시 관덕로14길 18,,횟집
45,동문올레횟집,제주특별자치도 제주시 관덕로14길 10 ,064-752-5657,횟집
46,동복리해녀잠수촌,제주특별자치도 제주시 구좌읍 구좌해안로 32,,횟집
47,동승호,제주특별자치도 제주시 신성로7길 16 ,064-721-8254,횟집
48,동화수산물회센타,제주특별자치도 제주시 동화로1길 49-13 ,064-724-6378,횟집
49,동희,제주특별자치도 제주시 흥운길 89 ,064-748-5688,횟집
50,등대와바당,제주특별자치도 제주시 도두항서길 37,064-711-1282,횟집
51,뜰채1호점,제주특별자치도 제주시 조천읍 조함해안로 538,064-784-9044,횟집
52,마니주,제주특별자치도 제주시 애월읍 광령2길 102,064-743-0721,횟집
53,마라톤,제주특별자치도 제주시 서광로 174 ,,횟집
54,마린수산회센타,제주특별자치도 제주시 동문로2길 10,,횟집
55,막둥이횟집,제주특별자치도 제주시 원노형6길 12-3 ,,횟집
56,만남의횟집상봉,제주특별자치도 제주시 설촌로12길 24 ,064-702-6313,횟집
57,만선바다,제주특별자치도 제주시 삼무로1길 6,064-742-6300,횟집
58,만원애횟집,제주특별자치도 제주시 서사로11길 2 ,064-758-7337,횟집
59,맛있는바다,제주특별자치도 제주시 만덕로 31 ,064-702-4403,횟집
60,매코미호프,제주특별자치도 제주시 정존7길 37 ,064-744-9234,횟집
61,멍텅구리24시,제주특별자치도 제주시 도남로 31-1 ,064-726-2429,횟집
62,명가일식,제주특별자치도 제주시 만덕로6길 34 ,064-725-4333,횟집
63,명선회식당,제주특별자치도 제주시 한림읍 수원1길 4,064-796-3763,횟집
64,명품사조참치,제주특별자치도 제주시 정존15길 33 ,,횟집
65,모살물,제주특별자치도 제주시 삼무로3길 14 ,,횟집
66,문경회센터,제주특별자치도 제주시 인다7길 10,064-724-1002,횟집
67,문섬,제주특별자치도 제주시 원노형로 45,064-747-1760,횟집
68,미도횟집,제주특별자치도 제주시 관덕로14길 12,064-722-7313,횟집
69,바다길횟집,제주특별자치도 제주시 서해안로 224 ,064-745-7654,횟집
70,바다어사또,제주특별자치도 제주시 조천읍 조함해안로 478,064-784-4455,횟집
71,바다의향기,제주특별자치도 제주시 도두항서길 71 ,064-713-6006,횟집
