Nature_ID,Nature_Type,Nature_Name,Nature_Addr,Nature_Longtitude,Nature_Latitude
2,오름,상여오름,제주특별자치도 제주시 연동 산 60,126.4988486,33.46617508
3,오름,거문오름,제주특별자치도 제주시 연동 산 110,126.4985546,33.44467268
4,오름,눈오름,제주특별자치도 제주시 해안동 166-17,126.4745736,33.45909794
5,오름,관절오름,제주특별자치도 제주시 아라일동 350,126.5582729,33.45732902
6,오름,남조순오름,제주특별자치도 제주시 연동 산 25,126.4966607,33.47369288
7,오름,개월오름,제주특별자치도 제주시 봉개동 산 78-1,126.6228483,33.43022042
8,오름,삼의양오름,제주특별자치도 제주시 아라일동 산 24-2,126.5619747,33.43951204
9,오름,붉은오름,제주특별자치도 제주시 도련일동 1238,126.5916037,33.49517404
10,오름,시오름,제주특별자치도 서귀포시 서호동 산 1,126.5186847,33.31124033
11,오름,칡오름,제주특별자치도 서귀포시 상효동 2306-2,126.6033402,33.28492855
12,오름,마중오름,제주특별자치도 제주시 한경면 저지리 2143-19,126.2718157,33.3342531
13,오름,민오름,제주특별자치도 제주시 오라이동 산 12,126.5065011,33.47650875
14,오름,논오름,제주특별자치도 서귀포시 안덕면 상창리 산 79,126.339026,33.27398732
15,오름,영아리오름,제주특별자치도 서귀포시 안덕면 상천리 산 19,126.4005794,33.33019653
16,오름,과오름,제주특별자치도 제주시 애월읍 곽지리 산 1,126.3246637,33.44694908
17,오름,어도오름,제주특별자치도 제주시 애월읍 봉성리 3915,126.3092823,33.42113426
18,오름,문도지오름,제주특별자치도 제주시 한림읍 금악리 3446,126.2958238,33.32709359
19,오름,돌오름,제주특별자치도 제주시 한림읍 금악리 산 60,126.3219041,33.32673242
20,오름,노로오름,제주특별자치도 제주시 애월읍 봉성리 산 139,126.342168,33.37272276
21,오름,붉은오름,제주특별자치도 제주시 애월읍 광령리 산 18-2,126.4350477,33.45520018
22,오름,천아오름,제주특별자치도 제주시 애월읍 광령리 산 182,126.4513619,33.39693034
